step,EKF,G-FOLD,PID_Controller,FTCA,total_ms
0,0.678099924698472,41.974399937316775,0.19799999427050352,1.5663000522181392,44.80999999213964
1,0.19559997599571943,0.07619999814778566,0.1821999903768301,1.5012999065220356,2.32920004054904
2,0.19539997447282076,0.06590003613382578,0.1745999325066805,1.548800035379827,2.329800045117736
3,0.17809995915740728,0.0643999082967639,0.1732000382617116,1.5214999439194798,2.3415000177919865
4,0.1775999553501606,0.0654000323265791,0.21399999968707561,1.5239000786095858,2.34819995239377
5,0.17819995991885662,0.0654999166727066,0.19749999046325684,3.2395999878644943,4.027200047858059
6,0.20750006660819054,0.07850001566112041,0.22879999596625566,1.7052999464794993,2.717799972742796
7,0.20490004681050777,0.07229996845126152,0.1970999874174595,1.6008999664336443,2.5372999953106046
8,0.2090000780299306,0.06999995093792677,0.1927000703290105,1.8833999056369066,2.8205999406054616
9,0.1892999280244112,0.07069995626807213,0.1916999462991953,1.930000027641654,2.8448000084608793
10,0.30369998421519995,40.885900030843914,0.4292000085115433,3.0839000828564167,45.7033000420779
11,0.21590001415461302,0.08030002936720848,0.22040004841983318,1.6222000122070312,2.522599999792874
12,0.20619994029402733,0.0790000194683671,0.19809999503195286,1.618299982510507,2.4779000086709857
13,0.21160009782761335,0.08119991980493069,0.22749998606741428,2.154799993149936,3.114399965852499
14,0.4257000982761383,0.14100002590566874,0.3980000037699938,3.5286000929772854,5.43160003144294
15,0.3662999952211976,0.14079990796744823,0.4140000091865659,3.0876999953761697,4.8810000298544765
16,0.2191000385209918,0.09180000051856041,0.197900109924376,1.9404999911785126,3.0354999471455812
17,0.49560004845261574,0.17199991270899773,0.5501999985426664,2.6265999767929316,4.749399959109724
18,0.3701999085023999,0.13369997031986713,0.3349999897181988,2.0110999466851354,3.714199992828071
19,0.20150002092123032,0.0730000901967287,0.19200006499886513,3.0444000149145722,3.9331000298261642
20,0.6436000112444162,38.48480002488941,0.215600011870265,1.7532999627292156,41.589500033296645
21,0.29390002600848675,0.07650000043213367,0.1976999919861555,1.812000060454011,2.814000006765127
22,0.18750003073364496,0.06970006506890059,0.18930004443973303,1.7834999598562717,2.666399930603802
23,0.18420000560581684,0.09139999747276306,0.1892999280244112,2.7745000552386045,3.896899987012148
24,0.3272000467404723,0.09709992446005344,0.37370005156844854,2.9239000286906958,4.366799956187606
25,0.22039993200451136,0.08220004383474588,0.1996000064536929,1.6787999775260687,2.560200053267181
26,0.1895000459626317,0.07179996464401484,0.1821999903768301,1.2744999257847667,2.0966000156477094
27,0.17989997286349535,0.06550003308802843,0.18660002388060093,1.421299995854497,2.2043000208213925
28,0.17419992946088314,0.07830001413822174,0.1805999781936407,1.4783000806346536,2.2519000340253115
29,0.19589997828006744,0.11060002725571394,0.4539999645203352,1.9467000383883715,3.370900056324899
30,0.3402000293135643,37.90130000561476,0.202300027012825,1.5633999137207866,40.38439993746579
31,0.20889996085315943,0.06780005060136318,0.17909996677190065,1.5223000664263964,2.331900061108172
32,0.18289999570697546,0.06520003080368042,0.1764999469742179,1.5255999751389027,2.301700063981116
33,0.17960008699446917,0.06550003308802843,0.17509993631392717,1.5650999266654253,2.454599947668612
34,0.18129998352378607,0.06600003689527512,0.17629994545131922,1.6134000616148114,2.4204000364989042
35,0.18060009460896254,0.06680004298686981,0.22759998682886362,1.5047000488266349,2.343099913559854
36,0.1813999842852354,0.06710004527121782,0.17849996220320463,1.5126001089811325,2.2909999825060368
37,0.17819995991885662,0.06489991210401058,0.17530005425214767,1.4817999908700585,2.2877000737935305
38,0.17820007633417845,0.06529991514980793,0.174800050444901,1.4628999633714557,2.253499929793179
39,0.17719995230436325,0.07850001566112041,0.1770000671967864,1.3084999518468976,2.091099973767996
40,0.45009993482381105,32.859700033441186,0.1873000292107463,1.347400015220046,35.20190005656332
