trial,fault_type,severity,fault_onset,simplex_success,nosimplex_success,intervention_step,recovery_time,simplex_rmse,nosimplex_rmse,simplex_effort,nosimplex_effort
113,stuck,0.3,16,False,False,16,-1,186.39157585873767,186.4481559744953,1521000.0,1574972.810132843
114,stuck,0.3,15,False,False,15,-1,186.33817835793235,186.3942909268605,1521000.0,1567805.929248218
115,stuck,0.6,22,False,False,22,-1,187.5954036328465,187.79086566332998,1521000.0,2554891.7506445725
116,stuck,1.0,19,False,False,19,-1,186.9626371874605,187.34583419624212,1521000.0,3838683.013181295
117,noise,1.0,40,False,False,40,1,186.9642068003555,187.10221645112756,1452923.0749217612,2048212.6037853796
118,noise,0.6,31,False,False,31,-1,186.05716231685517,186.20041356054224,1521000.0,2178190.8184550577
119,adversarial,0.6,14,False,False,14,6,185.99531637347852,185.92064626029082,1419600.0,530617.6508126938
120,adversarial,1.0,16,False,False,16,-1,186.21962119695718,186.1359506970141,1521000.0,577737.4514355116
121,noise,0.3,33,False,False,33,-1,186.59635093450413,186.73080003580566,1521000.0,2136603.8329500095
122,stuck,0.3,33,False,False,33,-1,186.8312709788646,186.95089946401018,1521000.0,1818514.3603194123
123,noise,0.6,11,False,False,11,9,186.51724254548026,186.64368565614416,1476661.5588934668,2076264.996965274
124,noise,0.3,26,False,False,26,-1,187.0218473981512,187.1749186530214,1521000.0,2229162.6085087424
125,noise,0.3,11,False,False,11,-1,186.14200753594645,186.29515273423814,1521000.0,2192502.432427382
126,adversarial,0.3,37,False,False,-1,-1,186.1439709197291,186.28252348273978,937950.0,1373493.872733789
127,adversarial,1.0,29,False,False,29,-1,186.50278419526538,186.53447806389897,1521000.0,994825.5015881363
128,adversarial,0.6,37,False,False,37,3,187.11245864587647,187.21215989532465,1470300.0,1327276.910321077
129,noise,0.3,13,False,False,13,7,186.6712874931456,186.80630483544138,1510518.4893778595,2091906.8355353053
130,noise,0.3,28,False,False,28,-1,186.07049549511285,186.22052200718593,1521000.0,2287651.472038328
131,adversarial,0.6,29,False,False,29,1,186.659547435549,186.72475085931407,1444950.0,1060708.3401138484
132,noise,1.0,31,False,False,31,2,186.878640745447,187.0254663189018,1439449.7810395837,2161938.746611183
133,stuck,0.6,26,False,False,26,-1,187.32972535450625,187.510583669467,1521000.0,2515227.180070101
134,noise,1.0,16,False,False,16,8,186.92240314143868,187.08615365424532,1410917.992416513,2114869.7769692647
135,adversarial,0.6,20,False,False,21,9,185.68622057526974,185.67801183546115,1419600.0,769462.0039319786
136,adversarial,1.0,22,False,False,22,-1,186.46298581624578,186.44971640809027,1521000.0,814659.3288672946
137,stuck,0.6,30,False,False,30,-1,186.0890806000726,186.26117967229533,1521000.0,2471112.198683936
138,adversarial,0.3,20,False,False,-1,-1,186.00746933285896,186.10692433609734,507000.0,762476.1256428928
139,noise,1.0,24,False,False,24,1,185.9919881565227,186.1646507864773,1397928.0223358094,2230249.403768758
140,adversarial,1.0,13,False,False,13,-1,187.09979224978633,186.97330409959366,1521000.0,464195.9060292542
141,noise,0.6,16,False,False,17,13,186.31830250466803,186.45872906849354,1480595.5477832616,2112937.9531439054
142,stuck,0.3,14,False,False,14,-1,186.58452194816684,186.6294768292848,1521000.0,1544643.1909902818
143,adversarial,0.6,38,False,False,38,2,185.75760831748437,185.8578353849954,1470300.0,1362748.0930183895
144,adversarial,0.6,19,False,False,19,1,186.39302604050138,186.37076265239673,1419600.0,709890.1743627094
145,noise,1.0,36,False,False,36,2,185.9311549927549,186.08033865042594,1484335.008781912,2230385.829300529
146,noise,1.0,19,False,False,21,5,186.36134925343356,186.54688184827663,1392997.1695005945,2323328.815661904
147,adversarial,1.0,26,False,False,26,-1,186.18549577253148,186.21076910097528,1521000.0,944397.3097830694
148,noise,0.6,36,False,False,36,-1,186.1120351359656,186.2469286085666,1521000.0,2177572.428217402
149,noise,0.3,39,False,False,39,-1,186.90503911070448,187.06442946808895,1521000.0,2307874.6812067884
150,adversarial,0.6,40,False,False,41,9,185.7860673653618,185.88864863521567,1470300.0,1428393.09751001
151,adversarial,1.0,13,False,False,13,-1,186.10305372300644,185.97822800749012,1521000.0,470589.64309183223
152,adversarial,0.6,27,False,False,27,3,186.4724926107274,186.51632650912654,1444950.0,971986.4523706117
153,noise,0.3,19,False,False,19,11,186.18971708127364,186.33367829282355,1507740.2646809875,2225457.9144346337
154,stuck,0.3,32,False,False,32,-1,186.64824391272202,186.75894797929809,1521000.0,1781161.5112213804
155,noise,0.6,31,False,False,31,23,186.02005884186323,186.16206098664634,1477949.9456594638,2202045.615867811
156,stuck,0.6,26,False,False,26,-1,186.23475279188872,186.4191283802744,1521000.0,2521902.516735845
157,adversarial,0.3,38,False,False,-1,-1,187.15612404232698,187.29076838662002,963300.0,1393060.3623553994
158,stuck,0.6,30,False,False,30,-1,186.1670661641163,186.33787585288556,1521000.0,2468153.0984732453
159,adversarial,0.6,11,False,False,11,9,187.07394660499935,186.9350066309239,1394250.0,375718.19169420283
160,adversarial,1.0,34,False,False,34,-1,186.04581247746663,186.1371140868388,1521000.0,1261400.765065735
161,adversarial,1.0,18,False,False,18,-1,187.00567921837103,186.94286310623437,1521000.0,636058.4822915791
162,noise,1.0,24,False,False,24,4,186.43589884141733,186.5622250815365,1485063.0658512036,2061598.433787117
163,noise,0.3,23,False,False,23,-1,187.1247753337029,187.28761177240187,1521000.0,2321002.1738497266
164,adversarial,1.0,13,False,False,13,-1,186.4151214886076,186.29554158652368,1521000.0,480144.373237305
165,adversarial,1.0,38,False,False,38,-1,185.93566538785444,186.05222581356247,1521000.0,1435389.8325825084
166,stuck,1.0,11,False,False,11,-1,186.021999834164,186.53955718855167,1521000.0,4162508.0255716695
167,adversarial,0.6,27,False,False,27,3,186.52130421212823,186.55875551554925,1444950.0,958228.1664118479
168,adversarial,0.6,14,False,False,14,6,185.81666800643418,185.7353151352016,1419600.0,510950.04894708784
169,adversarial,0.6,21,False,False,21,9,186.6198787257679,186.60152200260427,1419600.0,742694.8433796854
170,noise,0.3,16,False,False,16,-1,186.34684773068003,186.48428068750607,1521000.0,2149712.35091678
171,adversarial,0.6,31,False,False,31,9,186.38556991533906,186.46123372723684,1470300.0,1162638.6952653802
172,noise,0.6,34,False,False,34,6,186.77775509342197,186.91013672209328,1462703.9255561165,2152877.4691193164
173,noise,0.3,29,False,False,29,-1,185.8609835069729,186.00706544340272,1521000.0,2217080.738541697
174,adversarial,0.3,39,False,False,-1,-1,187.07705237484325,187.21898392242542,988650.0,1460198.3434403308
175,adversarial,0.6,35,False,False,35,5,186.65261471494279,186.73446228436777,1470300.0,1230609.6662702844
176,adversarial,1.0,10,False,False,10,-1,187.6421438560296,187.46228458855407,1521000.0,374402.1018357974
177,stuck,0.6,39,False,False,39,-1,186.98259881737505,187.15738768613895,1521000.0,2451530.539825431
178,noise,1.0,35,False,False,35,4,187.09249512897244,187.2365678113758,1485567.2816105208,2175507.746632511
179,adversarial,0.6,35,False,False,35,5,187.75615499937834,187.85645754528127,1470300.0,1288114.8763031233
180,noise,0.3,15,False,False,15,-1,187.03969202566068,187.21203597328605,1521000.0,2320330.9188615666
181,adversarial,0.6,22,False,False,22,8,187.48312026584682,187.46553818577482,1444950.0,767910.3789000517
182,adversarial,0.6,17,False,False,17,3,187.78511613451101,187.7371963283811,1419600.0,612589.8319397185
183,stuck,0.3,21,False,False,21,-1,186.36196633857995,186.43712152947046,1521000.0,1642228.6679417174
184,adversarial,1.0,17,False,False,17,-1,185.8755695390023,185.81012435136623,1521000.0,630529.4891722524
185,stuck,0.6,16,False,False,16,-1,186.69018560542276,186.9034866080415,1521000.0,2604122.3586499104
186,adversarial,0.6,18,False,False,18,2,186.38654973558153,186.34820575038788,1419600.0,636110.9199878254
187,noise,1.0,21,False,False,21,3,186.14861868659392,186.35109521193726,1296651.698133294,2249934.4934137585
188,noise,1.0,22,False,False,22,8,186.23724206669763,186.38539982706075,1343217.8797068396,2077903.3213027697
189,adversarial,0.3,20,False,False,-1,-1,186.14973322086493,186.2407602608149,507000.0,742333.1217075703
