run,type,success,pos_error_m,touchdown_speed,fuel_remaining_kg,flight_time_s,is_landed,is_destroyed
0,nominal,True,0.046977481355401536,0.0,8699.895369529851,43.189999999999976,True,False
1,engine_out,True,0.01629873962451693,0.0,11190.439587891498,43.189999999999976,True,False
2,sensor_degraded,False,74.3904372306192,0.0,9229.779768269891,39.25000000000076,False,True
3,nominal,True,0.05425366188198096,0.0,8703.126940383065,43.199999999999974,True,False
4,engine_out,True,0.021369909196092194,0.0,11206.903343976794,43.199999999999974,True,False
5,sensor_degraded,False,123.09552488417478,0.0,9437.181272133652,37.820000000001045,False,True
6,nominal,True,0.04600126997907691,0.0,8702.59525411101,43.199999999999974,True,False
7,engine_out,True,0.015422549449770699,0.0,11197.16926406016,43.199999999999974,True,False
8,sensor_degraded,False,98.9183929099756,0.0,9349.715118601904,38.49000000000091,False,True
9,nominal,True,0.06140948849753629,0.0,8706.950953181271,43.199999999999974,True,False
10,engine_out,True,0.05928123136575997,0.0,11188.724726867313,43.189999999999976,True,False
11,sensor_degraded,False,91.38590302951751,0.0,9315.589231479124,38.720000000000866,False,True
12,nominal,True,0.06096599399312539,0.0,8700.670324889817,43.199999999999974,True,False
13,engine_out,True,0.031327206626178696,0.0,11193.618328261646,43.199999999999974,True,False
14,sensor_degraded,False,68.11686281915962,0.0,9239.045978382674,39.50000000000071,False,True
15,nominal,True,0.05474497856011038,0.0,8706.408167446873,43.199999999999974,True,False
16,engine_out,True,0.058439647505069595,0.0,11188.81121592518,43.199999999999974,True,False
17,sensor_degraded,False,139.8073198677059,0.0,9497.98117229256,37.39000000000113,False,True
18,nominal,True,0.02310935445604369,0.0,8703.321184467626,43.189999999999976,True,False
19,engine_out,True,0.05575384929915607,0.0,11204.088443020784,43.20999999999997,True,False
