time,true_x,true_y,true_z,est_x,est_y,est_z,pos_error_norm,vel_error_norm
0.0,0.0,0.0,0.0,0.960004387188766,-0.9585975398542093,2.5733891760376393,2.90909771547535,0.15904597499777398
0.01,6.351706827942349e-05,7.361835422136854e-10,0.0008377732684183509,0.9607718254771319,-0.9575071847274983,2.5742507833329626,2.9089920908159645,0.12944920729297568
0.02,0.00019055649312000998,2.4047192810460336e-09,0.0025134421725993214,0.9615440341414205,-0.956414048832738,2.575113255052495,2.9081262255309004,0.15141231051219883
0.03,0.0003811223839043635,5.176401006235563e-09,0.005027125795162842,0.9623163238795948,-0.9553170410632947,2.5759758416494676,2.9064974265024888,0.20635631289651912
0.04,0.0006352183037019172,8.920703755123153e-09,0.008378945286336734,0.9630838101868715,-0.9542211421666746,2.5768335536099976,2.904101301989906,0.2776648645841797
0.05,0.0009528499637246322,1.404480707785244e-08,0.012569018514355327,0.9638502193211259,-0.9531240434229528,2.577687608674402,2.900939536499145,0.3539578598640294
0.060000000000000005,0.001334022699994903,2.1354001799771286e-08,0.017597467586078094,0.9646150313417775,-0.9520300634391572,2.5785407351001908,2.897016051627443,0.4333933539221992
0.07,0.0017787402417169557,3.0450606224184573e-08,0.02346440924729561,0.9653838800129394,-0.95094509908821,2.579393042269662,2.892335160711963,0.5139257416727513
0.08,0.002287008508841332,4.2124705922501337e-08,0.03016996528915334,0.9661542019690507,-0.9498638357771855,2.5802455097679746,2.886895674547426,0.5958653805936253
0.09,0.0028588321788630953,5.659036117136949e-08,0.03771425603692657,0.9669232006962046,-0.9487811853589977,2.5810931776116175,2.880691286901487,0.6790609034834756
0.09999999999999999,0.0034942162870250015,7.411282525188813e-08,0.04609740369918688,1.188142464289482,-1.782506703898349,1.7121458903998499,2.7122756949079934,0.39568298758760806
0.10999999999999999,0.004193165507259011,9.506334434172828e-08,0.055319528389310486,1.1877054632411304,-1.7830361260042753,1.716767132304429,2.7093039078482306,0.4761076207232789
0.11999999999999998,0.0049556839565480975,1.1962432145443642e-07,0.06538074547512596,1.1872725119820673,-1.7834561173821974,1.721391301122284,2.705727294382157,0.5576854853822039
0.12999999999999998,0.005781774821212773,1.4737755128524057e-07,0.07628117300161848,1.1868349203720863,-1.7837666635478377,1.7260152899905166,2.7015427490846196,0.6410585931384749
0.13999999999999999,0.0066714434834136156,1.8004949036257428e-07,0.08802092948966381,1.186391228094291,-1.7839657705871916,1.7306329236286804,2.6967475681870434,0.7251644779541757
0.15,0.0076246936742579785,2.1770823729160355e-07,0.10060013427022485,1.185948412901248,-1.7840529932149214,1.7352437474117843,2.691347690039816,0.809195566963157
0.16,0.008641531094445952,2.616410247267101e-07,0.1140189094560102,1.1855011609853383,-1.7840262752517457,1.7398519233391596,2.6853458365426426,0.8933032182716244
0.17,0.009721959984302257,3.13095704793518e-07,0.1282773750239769,1.1850474988231592,-1.7838906272222725,1.7444555869113658,2.6787476592196815,0.9781965973029293
0.18000000000000002,0.010865983787222805,3.7134945500271583e-07,0.143375646575686,1.1845915841028158,-1.7836488903280265,1.7490486436453587,2.6715580186545695,1.0637074873116248
0.19000000000000003,0.01207360708116549,4.3646087465744874e-07,0.15931384509904312,1.1841350139238436,-1.7833000047449563,1.753631489097207,2.6637824901779807,1.1487251367793512
0.20000000000000004,0.013344833688969425,5.087048207587647e-07,0.17609208987779623,0.6839809052941093,-2.608272941088317,0.6386719158198921,2.7325488513112424,0.8085558600220888
0.21000000000000005,0.014679668327351361,5.893774697757955e-07,0.19371050063168863,0.6846377426721689,-2.6074034637251895,0.6474427634530685,2.7300682562604552,0.890825048509573
0.22000000000000006,0.0160781155293797,6.787212708315603e-07,0.2121691958332624,0.6852831404401857,-2.606529310565251,0.6562278758544395,2.727457068721342,0.9737050743366771
0.23000000000000007,0.01754018020021007,7.76176382164087e-07,0.23146829555177426,0.6859165002671783,-2.605653550995344,0.6650261416933755,2.7247263686260217,1.0562924291590956
0.24000000000000007,0.019065867146974575,8.823448557806614e-07,0.25160792115884,0.6865336168743873,-2.6047753668544407,0.6738413854800614,2.7218842010106954,1.1386161583077083
0.25000000000000006,0.020655180923175538,9.970392600418875e-07,0.2725881916833578,0.6871355670658791,-2.6038947237050043,0.6826738468469662,2.7189408368322736,1.2212422990123541
0.26000000000000006,0.022308124037857657,1.1187294167536685e-06,0.2944092224874577,0.6877256352695121,-2.6030150878993195,0.6915164791359186,2.715910162267605,1.3049518687657178
0.2700000000000001,0.024024699478276255,1.2483584843560587e-06,0.3170711325109159,0.6883026987082385,-2.6021374513268873,0.7003649360525919,2.712803939191825,1.3885262783116148
0.2800000000000001,0.02580491097050165,1.3882242854578745e-06,0.34057404279270315,0.6888675236346361,-2.601264516622135,0.7092248222313631,2.7096383030231515,1.4711498089640347
0.2900000000000001,0.02764876405702844,1.5369561901121558e-06,0.3649180729784058,0.6894208287235098,-2.6003975833497877,0.7181012254729973,2.7064286781046087,1.5537508765906554
0.3000000000000001,0.029556261164894772,1.6938388830995322e-06,0.39010334180349393,0.4993420825115861,-0.514186198062375,0.6697267256510135,0.7505179164487564,1.1629393108531227
0.3100000000000001,0.031527403769545104,1.8598504425942264e-06,0.4161299682352155,0.5007642624246242,-0.5142103182146249,0.6833162418846072,0.7456446193848347,1.2425928186905557
0.3200000000000001,0.03356219516514323,2.0327647530307462e-06,0.44299807042264655,0.5021765761263944,-0.5143134247297183,0.6969516455323423,0.7406836343354968,1.3226163161918294
0.3300000000000001,0.03566063871020685,2.2132563071011595e-06,0.4707077682284006,0.5035820535112672,-0.514491436343289,0.7106337881781607,0.7356756492889177,1.402187482887534
0.34000000000000014,0.037822741920438795,2.4014034144932547e-06,0.4992591820011426,0.5049768703911507,-0.5147398122838203,0.7243590348333532,0.7306589286691486,1.483062756119419
