fault_type,run,detector,onset,precision,recall,f1,detection_lag,false_alarms,inference_ms
sudden_shutoff,0,Threshold,60,1.0,0.15,0.2608695652173913,1,0,0.008366666649332425
sudden_shutoff,0,LSTM,60,0.625,1.0,0.7692307692307693,0,36,0.043155833342704376
sudden_shutoff,0,Transformer,60,1.0,0.9333333333333333,0.9655172413793104,4,0,0.2878375000060866
sudden_shutoff,1,Threshold,27,1.0,0.0967741935483871,0.17647058823529413,1,0,0.008420833304019956
sudden_shutoff,1,LSTM,27,0.8303571428571429,1.0,0.9073170731707317,0,19,0.05109916664878256
sudden_shutoff,1,Transformer,27,1.0,0.6021505376344086,0.7516778523489933,37,0,0.24061083334648478
sudden_shutoff,2,Threshold,21,1.0,0.09090909090909091,0.16666666666666669,1,0,0.008611666665577408
sudden_shutoff,2,LSTM,21,0.8761061946902655,1.0,0.9339622641509434,0,14,0.038543333327349195
sudden_shutoff,2,Transformer,21,1.0,0.5656565656565656,0.7225806451612903,43,0,0.23565166666230652
sudden_shutoff,3,Threshold,67,1.0,0.16981132075471697,0.2903225806451613,1,0,0.00991000000188554
sudden_shutoff,3,LSTM,67,0.5047619047619047,1.0,0.6708860759493671,0,52,0.03844166667477111
sudden_shutoff,3,Transformer,67,1.0,0.9811320754716981,0.9904761904761905,1,0,0.2307124999788357
sudden_shutoff,4,Threshold,37,1.0,0.10843373493975904,0.1956521739130435,1,0,0.008503333325885857
sudden_shutoff,4,LSTM,37,0.7980769230769231,1.0,0.8877005347593583,0,21,0.040298333321212944
sudden_shutoff,4,Transformer,37,1.0,0.6746987951807228,0.8057553956834532,27,0,0.2215825000045394
sudden_shutoff,5,Threshold,35,1.0,0.10588235294117647,0.19148936170212766,1,0,0.008565000007365597
sudden_shutoff,5,LSTM,35,0.7870370370370371,1.0,0.8808290155440415,0,23,0.03762916667255922
sudden_shutoff,5,Transformer,35,1.0,0.6588235294117647,0.7943262411347518,29,0,0.22506083332700655
sudden_shutoff,6,Threshold,34,1.0,0.10465116279069768,0.18947368421052632,1,0,0.008697500015841797
sudden_shutoff,6,LSTM,34,0.7818181818181819,1.0,0.8775510204081634,0,24,0.038062500001008935
sudden_shutoff,6,Transformer,34,1.0,0.6511627906976745,0.7887323943661972,30,0,0.24933333334047347
sudden_shutoff,7,Threshold,28,1.0,0.09782608695652174,0.17821782178217824,1,0,0.008518333349153787
sudden_shutoff,7,LSTM,28,0.8518518518518519,1.0,0.92,0,16,0.03897583334643665
sudden_shutoff,7,Transformer,28,1.0,0.6086956521739131,0.7567567567567568,36,0,0.26898833336114575
sudden_shutoff,8,Threshold,67,1.0,0.16981132075471697,0.2903225806451613,1,0,0.00862166668108936
sudden_shutoff,8,LSTM,67,0.5520833333333334,1.0,0.7114093959731543,0,43,0.03768833333500273
sudden_shutoff,8,Transformer,67,1.0,0.9811320754716981,0.9904761904761905,1,0,0.22727666667681964
sudden_shutoff,9,Threshold,26,1.0,0.09574468085106383,0.17475728155339806,1,0,0.009354166680471584
sudden_shutoff,9,LSTM,26,0.8545454545454545,1.0,0.9215686274509803,0,16,0.042828333334909985
sudden_shutoff,9,Transformer,26,1.0,0.5957446808510638,0.7466666666666666,38,0,0.2419558333410047
sudden_shutoff,10,Threshold,63,1.0,0.15789473684210525,0.2727272727272727,1,0,0.010262499987826837
sudden_shutoff,10,LSTM,63,0.5588235294117647,1.0,0.7169811320754718,0,45,0.04219916666746334
sudden_shutoff,10,Transformer,63,1.0,0.9824561403508771,0.9911504424778761,1,0,0.2235425000132333
sudden_shutoff,11,Threshold,67,1.0,0.16981132075471697,0.2903225806451613,1,0,0.009043333344986118
sudden_shutoff,11,LSTM,67,0.5196078431372549,1.0,0.6838709677419356,0,49,0.03742333331805033
sudden_shutoff,11,Transformer,67,1.0,0.9811320754716981,0.9904761904761905,1,0,0.23634499999995265
sudden_shutoff,12,Threshold,77,1.0,0.20930232558139536,0.3461538461538462,1,0,0.008773333320277743
sudden_shutoff,12,LSTM,77,0.5058823529411764,1.0,0.671875,0,42,0.0370791666682635
sudden_shutoff,12,Transformer,77,0.9767441860465116,0.9767441860465116,0.9767441860465116,1,1,0.26475916668762994
sudden_shutoff,13,Threshold,54,1.0,0.13636363636363635,0.24000000000000002,1,0,0.00873750001725663
sudden_shutoff,13,LSTM,54,0.616822429906542,1.0,0.7630057803468209,0,41,0.039779166642498844
sudden_shutoff,13,Transformer,54,1.0,0.8484848484848485,0.9180327868852458,10,0,0.22956416666299143
sudden_shutoff,14,Threshold,25,1.0,0.09473684210526316,0.17307692307692307,1,0,0.008452499999596816
sudden_shutoff,14,LSTM,25,0.9047619047619048,1.0,0.9500000000000001,0,10,0.03922916666851961
sudden_shutoff,14,Transformer,25,1.0,0.5894736842105263,0.7417218543046357,39,0,0.2190208333558985
sudden_shutoff,15,Threshold,57,1.0,0.14285714285714285,0.25,1,0,0.008844999986952947
sudden_shutoff,15,LSTM,57,0.6631578947368421,1.0,0.7974683544303798,0,32,0.04149583334462174
sudden_shutoff,15,Transformer,57,1.0,0.8888888888888888,0.9411764705882353,7,0,0.2796733333222316
sudden_shutoff,16,Threshold,47,1.0,0.1232876712328767,0.2195121951219512,1,0,0.00936083333726856
sudden_shutoff,16,LSTM,47,0.6822429906542056,1.0,0.8111111111111111,0,34,0.044015833312490336
sudden_shutoff,16,Transformer,47,1.0,0.7671232876712328,0.8682170542635659,17,0,0.2619599999889033
sudden_shutoff,17,Threshold,22,1.0,0.09183673469387756,0.16822429906542058,1,0,0.012087499999324791
sudden_shutoff,17,LSTM,22,0.8596491228070176,1.0,0.9245283018867925,0,16,0.037249999998797044
sudden_shutoff,17,Transformer,22,1.0,0.5714285714285714,0.7272727272727273,42,0,0.2443433333307136
sudden_shutoff,18,Threshold,21,1.0,0.09090909090909091,0.16666666666666669,1,0,0.009313333339378005
